run,pop,herb,rate,rep,surv,biomass
1,A75,meso,0,1,1,2.656
1,A75,meso,0,2,1,3.534
1,A75,meso,0,3,1,3.005
1,A75,meso,0,4,1,2.393
1,A75,meso,1.6,1,1,2.091
1,A75,meso,1.6,2,1,2.956
1,A75,meso,1.6,3,1,2.757
1,A75,meso,1.6,4,1,3.133
1,A75,meso,3.3,1,1,3.133
1,A75,meso,3.3,2,1,1.385
1,A75,meso,3.3,3,1,2.791
1,A75,meso,3.3,4,1,2.444
1,A75,meso,6.5,1,1,1.436
1,A75,meso,6.5,2,1,2.036
1,A75,meso,6.5,3,1,2.078
1,A75,meso,6.5,4,1,1.733
1,A75,meso,13.1,1,1,1.822
1,A75,meso,13.1,2,0,0
1,A75,meso,13.1,3,1,1.091
1,A75,meso,13.1,4,1,2.348
1,A75,meso,26.3,1,1,0.245
1,A75,meso,26.3,2,0,0
1,A75,meso,26.3,3,1,0.076
1,A75,meso,26.3,4,0,0
1,A75,meso,53,1,0,0
1,A75,meso,53,2,1,0.271
1,A75,meso,53,3,0,0
1,A75,meso,53,4,1,0.145
1,A75,meso,105.1,1,1,0.062
1,A75,meso,105.1,2,0,0
1,A75,meso,105.1,3,0,0
1,A75,meso,105.1,4,0,0
1,A75,meso,210.2,1,0,0
1,A75,meso,210.2,2,0,0
1,A75,meso,210.2,3,1,0.116
1,A75,meso,210.2,4,0,0
1,A75,meso,420.4,1,0,0
1,A75,meso,420.4,2,0,0
1,A75,meso,420.4,3,0,0
1,A75,meso,420.4,4,0,0
1,A75,meso,840.8,1,0,0
1,A75,meso,840.8,2,0,0
1,A75,meso,840.8,3,0,0
1,A75,meso,840.8,4,0,0
1,A75,meso,1681.6,1,0,0
1,A75,meso,1681.6,2,0,0
1,A75,meso,1681.6,3,0,0
1,A75,meso,1681.6,4,0,0
1,A75,meso+P450,0,1,1,2.778
1,A75,meso+P450,0,2,0,0
1,A75,meso+P450,0,3,1,2.286
1,A75,meso+P450,0,4,1,3.408
1,A75,meso+P450,1.6,1,1,2.62
1,A75,meso+P450,1.6,2,1,2.601
1,A75,meso+P450,1.6,3,1,2.095
1,A75,meso+P450,1.6,4,1,1.977
1,A75,meso+P450,3.3,1,1,1.685
1,A75,meso+P450,3.3,2,1,1.94
1,A75,meso+P450,3.3,3,1,2.488
1,A75,meso+P450,3.3,4,1,1.328
1,A75,meso+P450,6.5,1,1,1.995
1,A75,meso+P450,6.5,2,1,1.666
1,A75,meso+P450,6.5,3,1,1.031
1,A75,meso+P450,6.5,4,1,1.3
1,A75,meso+P450,13.1,1,1,1.841
1,A75,meso+P450,13.1,2,1,1.122
1,A75,meso+P450,13.1,3,1,2.188
1,A75,meso+P450,13.1,4,1,1.296
1,A75,meso+P450,26.3,1,1,1.038
1,A75,meso+P450,26.3,2,0,0
1,A75,meso+P450,26.3,3,1,0.094
1,A75,meso+P450,26.3,4,0,0
1,A75,meso+P450,53,1,1,0.231
1,A75,meso+P450,53,2,0,0
1,A75,meso+P450,53,3,0,0
1,A75,meso+P450,53,4,0,0
1,A75,meso+P450,105.1,1,0,0
1,A75,meso+P450,105.1,2,0,0
1,A75,meso+P450,105.1,3,0,0
1,A75,meso+P450,105.1,4,0,0
1,A75,meso+P450,210.2,1,0,0
1,A75,meso+P450,210.2,2,0,0
1,A75,meso+P450,210.2,3,0,0
1,A75,meso+P450,210.2,4,0,0
1,A75,meso+P450,420.4,1,0,0
1,A75,meso+P450,420.4,2,0,0
1,A75,meso+P450,420.4,3,0,0
1,A75,meso+P450,420.4,4,0,0
1,A75,meso+P450,840.8,1,0,0
1,A75,meso+P450,840.8,2,0,0
1,A75,meso+P450,840.8,3,0,0
1,A75,meso+P450,840.8,4,0,0
1,A75,meso+P450,1681.6,1,0,0
1,A75,meso+P450,1681.6,2,0,0
1,A75,meso+P450,1681.6,3,0,0
1,A75,meso+P450,1681.6,4,0,0
1,A75,meso+GST,0,1,1,1.875
1,A75,meso+GST,0,2,1,2.818
1,A75,meso+GST,0,3,1,4.23
1,A75,meso+GST,0,4,1,2.371
1,A75,meso+GST,1.6,1,1,2.418
1,A75,meso+GST,1.6,2,1,2.3
1,A75,meso+GST,1.6,3,1,2.233
1,A75,meso+GST,1.6,4,1,4.062
1,A75,meso+GST,3.3,1,1,1.477
1,A75,meso+GST,3.3,2,1,1.639
1,A75,meso+GST,3.3,3,1,2.558
1,A75,meso+GST,3.3,4,1,1.806
1,A75,meso+GST,6.5,1,1,0.883
1,A75,meso+GST,6.5,2,1,1.77
1,A75,meso+GST,6.5,3,1,2.338
1,A75,meso+GST,6.5,4,1,2.547
1,A75,meso+GST,13.1,1,1,1.693
1,A75,meso+GST,13.1,2,1,1.376
1,A75,meso+GST,13.1,3,1,2.828
1,A75,meso+GST,13.1,4,1,1.013
1,A75,meso+GST,26.3,1,1,0.121
1,A75,meso+GST,26.3,2,0,0
1,A75,meso+GST,26.3,3,1,0.09
1,A75,meso+GST,26.3,4,0,0
1,A75,meso+GST,53,1,0,0
1,A75,meso+GST,53,2,0,0
1,A75,meso+GST,53,3,0,0
1,A75,meso+GST,53,4,0,0
1,A75,meso+GST,105.1,1,0,0
1,A75,meso+GST,105.1,2,0,0
1,A75,meso+GST,105.1,3,0,0
1,A75,meso+GST,105.1,4,0,0
1,A75,meso+GST,210.2,1,0,0
1,A75,meso+GST,210.2,2,0,0
1,A75,meso+GST,210.2,3,0,0
1,A75,meso+GST,210.2,4,0,0
1,A75,meso+GST,420.4,1,0,0
1,A75,meso+GST,420.4,2,0,0
1,A75,meso+GST,420.4,3,0,0
1,A75,meso+GST,420.4,4,0,0
1,A75,meso+GST,840.8,1,0,0
1,A75,meso+GST,840.8,2,0,0
1,A75,meso+GST,840.8,3,0,0
1,A75,meso+GST,840.8,4,0,0
1,A75,meso+GST,1681.6,1,0,0
1,A75,meso+GST,1681.6,2,0,0
1,A75,meso+GST,1681.6,3,0,0
1,A75,meso+GST,1681.6,4,0,0
2,A75,meso,0,1,1,1.834
2,A75,meso,0,2,1,2.15
2,A75,meso,0,3,1,2.326
2,A75,meso,0,4,1,1.513
2,A75,meso,1.6,1,1,1.967
2,A75,meso,1.6,2,1,1.642
2,A75,meso,1.6,3,1,3.006
2,A75,meso,1.6,4,1,0.524
2,A75,meso,3.3,1,1,1.173
2,A75,meso,3.3,2,1,0.727
2,A75,meso,3.3,3,1,0.715
2,A75,meso,3.3,4,0,0
2,A75,meso,6.5,1,1,0.501
2,A75,meso,6.5,2,1,0.572
2,A75,meso,6.5,3,1,0.698
2,A75,meso,6.5,4,1,0.57
2,A75,meso,13.1,1,1,0.306
2,A75,meso,13.1,2,1,0.647
2,A75,meso,13.1,3,1,0.309
2,A75,meso,13.1,4,1,0.824
2,A75,meso,26.3,1,0,0
2,A75,meso,26.3,2,1,0.723
2,A75,meso,26.3,3,1,0.101
2,A75,meso,26.3,4,0,0
2,A75,meso,53,1,0,0
2,A75,meso,53,2,0,0
2,A75,meso,53,3,1,0.128
2,A75,meso,53,4,1,0.116
2,A75,meso,105.1,1,0,0
2,A75,meso,105.1,2,1,0.09
2,A75,meso,105.1,3,0,0
2,A75,meso,105.1,4,0,0
2,A75,meso,210.2,1,0,0
2,A75,meso,210.2,2,0,0
2,A75,meso,210.2,3,0,0
2,A75,meso,210.2,4,0,0
2,A75,meso,420.4,1,0,0
2,A75,meso,420.4,2,0,0
2,A75,meso,420.4,3,0,0
2,A75,meso,420.4,4,1,0.452
2,A75,meso,840.8,1,0,0
2,A75,meso,840.8,2,0,0
2,A75,meso,840.8,3,0,0
2,A75,meso,840.8,4,0,0
2,A75,meso,1681.6,1,0,0
2,A75,meso,1681.6,2,0,0
2,A75,meso,1681.6,3,0,0
2,A75,meso,1681.6,4,0,0
2,A75,meso+P450,0,1,1,2.375
2,A75,meso+P450,0,2,1,2.618
2,A75,meso+P450,0,3,1,1.743
2,A75,meso+P450,0,4,1,1.112
2,A75,meso+P450,1.6,1,1,3.232
2,A75,meso+P450,1.6,2,1,2.282
2,A75,meso+P450,1.6,3,1,2.188
2,A75,meso+P450,1.6,4,1,1.525
2,A75,meso+P450,3.3,1,1,1.134
2,A75,meso+P450,3.3,2,1,1.004
2,A75,meso+P450,3.3,3,1,0.906
2,A75,meso+P450,3.3,4,1,1.052
2,A75,meso+P450,6.5,1,1,0.713
2,A75,meso+P450,6.5,2,1,1.09
2,A75,meso+P450,6.5,3,1,0.674
2,A75,meso+P450,6.5,4,1,0.755
2,A75,meso+P450,13.1,1,1,1.205
2,A75,meso+P450,13.1,2,1,0.684
2,A75,meso+P450,13.1,3,1,0.484
2,A75,meso+P450,13.1,4,1,0.868
2,A75,meso+P450,26.3,1,1,0.921
2,A75,meso+P450,26.3,2,1,0.111
2,A75,meso+P450,26.3,3,0,0
2,A75,meso+P450,26.3,4,1,0.504
2,A75,meso+P450,53,1,0,0
2,A75,meso+P450,53,2,1,0.194
2,A75,meso+P450,53,3,1,0.178
2,A75,meso+P450,53,4,1,0.124
2,A75,meso+P450,105.1,1,1,0.101
2,A75,meso+P450,105.1,2,1,0.087
2,A75,meso+P450,105.1,3,1,0.593
2,A75,meso+P450,105.1,4,1,0.146
2,A75,meso+P450,210.2,1,0,0
2,A75,meso+P450,210.2,2,0,0
2,A75,meso+P450,210.2,3,0,0
2,A75,meso+P450,210.2,4,0,0
2,A75,meso+P450,420.4,1,0,0
2,A75,meso+P450,420.4,2,0,0
2,A75,meso+P450,420.4,3,0,0
2,A75,meso+P450,420.4,4,0,0
2,A75,meso+P450,840.8,1,0,0
2,A75,meso+P450,840.8,2,0,0
2,A75,meso+P450,840.8,3,0,0
2,A75,meso+P450,840.8,4,0,0
2,A75,meso+P450,1681.6,1,0,0
2,A75,meso+P450,1681.6,2,0,0
2,A75,meso+P450,1681.6,3,0,0
2,A75,meso+P450,1681.6,4,0,0
2,A75,meso+GST,0,1,1,3.755
2,A75,meso+GST,0,2,1,2.132
2,A75,meso+GST,0,3,1,3.201
2,A75,meso+GST,0,4,1,1.536
2,A75,meso+GST,1.6,1,1,1.007
2,A75,meso+GST,1.6,2,1,0.947
2,A75,meso+GST,1.6,3,1,1.317
2,A75,meso+GST,1.6,4,1,1.116
2,A75,meso+GST,3.3,1,1,1.536
2,A75,meso+GST,3.3,2,1,1.106
2,A75,meso+GST,3.3,3,1,1.754
2,A75,meso+GST,3.3,4,1,0.599
2,A75,meso+GST,6.5,1,1,0.845
2,A75,meso+GST,6.5,2,1,1.18
2,A75,meso+GST,6.5,3,1,1.023
2,A75,meso+GST,6.5,4,1,0.444
2,A75,meso+GST,13.1,1,1,0.707
2,A75,meso+GST,13.1,2,1,0.614
2,A75,meso+GST,13.1,3,1,0.783
2,A75,meso+GST,13.1,4,1,0.527
2,A75,meso+GST,26.3,1,0,0
2,A75,meso+GST,26.3,2,1,0.249
2,A75,meso+GST,26.3,3,1,0.125
2,A75,meso+GST,26.3,4,1,0.333
2,A75,meso+GST,53,1,0,0
2,A75,meso+GST,53,2,1,0.048
2,A75,meso+GST,53,3,1,0.158
2,A75,meso+GST,53,4,0,0
2,A75,meso+GST,105.1,1,0,0
2,A75,meso+GST,105.1,2,1,0.153
2,A75,meso+GST,105.1,3,0,0
2,A75,meso+GST,105.1,4,0,0
2,A75,meso+GST,210.2,1,0,0
2,A75,meso+GST,210.2,2,0,0
2,A75,meso+GST,210.2,3,0,0
2,A75,meso+GST,210.2,4,0,0
2,A75,meso+GST,420.4,1,0,0
2,A75,meso+GST,420.4,2,0,0
2,A75,meso+GST,420.4,3,0,0
2,A75,meso+GST,420.4,4,0,0
2,A75,meso+GST,840.8,1,0,0
2,A75,meso+GST,840.8,2,0,0
2,A75,meso+GST,840.8,3,0,0
2,A75,meso+GST,840.8,4,0,0
2,A75,meso+GST,1681.6,1,0,0
2,A75,meso+GST,1681.6,2,0,0
2,A75,meso+GST,1681.6,3,0,0
2,A75,meso+GST,1681.6,4,0,0
