run,trt,spp,rep,vr_7dat,vr_14dat,vr_21dat,vr_28dat,surv,biomass
1,1,wat,1,0.9,0.7,0.6,0.6,1,0.924941919
1,1,wat,2,0.9,0.95,0.99,0.99,0,1
1,1,wat,3,0.9,0.95,0.95,0.99,0,1
1,1,wat,4,0.9,0.95,0.95,0.99,0,1
1,1,wat,5,0.9,0.9,0.85,0.9,1,0.970512897
1,1,wat,6,0.9,0.8,0.7,0.7,1,0.964853756
1,2,wat,1,0.95,0.95,0.99,0.99,0,1
1,2,wat,2,0.9,0.95,0.99,0.99,0,1
1,2,wat,3,0.9,0.6,0.5,0.5,1,0.658366593
1,2,wat,4,0.9,0.95,0.95,0.99,0,1
1,2,wat,5,0.9,0.95,0.95,0.95,1,0.972299994
1,2,wat,6,0.95,0.95,0.99,0.99,0,1
1,3,wat,1,0.8,0.5,0.3,0.2,1,0.658664443
1,3,wat,2,0.85,0.95,0.95,0.9,1,0.989575267
1,3,wat,3,0.85,0.8,0.7,0.6,1,0.942515041
1,3,wat,4,0.8,0.4,0.2,0.2,1,0.625900995
1,3,wat,5,0.9,0.9,0.8,0.8,1,0.989575267
1,3,wat,6,0.85,0.9,0.7,0.6,1,0.954131173
1,4,wat,1,0.7,0.4,0.3,0.4,1,0.605349377
1,4,wat,2,0.8,0.6,0.5,0.5,1,0.753082743
1,4,wat,3,0.9,0.95,0.99,0.99,0,1
1,4,wat,4,0.95,0.95,0.99,0.99,0,1
1,4,wat,5,0.95,0.95,0.99,0.99,0,1
1,4,wat,6,0.95,0.8,0.7,0.6,1,0.958301066
1,5,wat,1,0.85,0.6,0.3,0.2,1,0.652409603
1,5,wat,2,0.9,0.8,0.6,0.6,1,0.909155894
1,5,wat,3,0.95,0.95,0.99,0.99,0,1
1,5,wat,4,0.9,0.9,0.8,0.8,1,0.974384941
1,5,wat,5,0.95,0.8,0.6,0.6,1,0.918687079
1,5,wat,6,0.95,0.8,0.8,0.8,1,0.984809674
1,6,wat,1,0.95,0.95,0.99,0.99,0,1
1,6,wat,2,0.9,0.9,0.8,0.7,1,0.950556979
1,6,wat,3,0.9,0.9,0.8,0.7,1,0.969619348
1,6,wat,4,0.9,0.7,0.7,0.7,1,0.960386013
1,6,wat,5,0.8,0.5,0.4,0.2,1,0.576457973
1,6,wat,6,0.8,0.5,0.3,0.2,1,0.688449395
1,7,wat,1,0.95,0.95,0.99,0.99,0,1
1,7,wat,2,0.95,0.9,0.7,0.6,1,0.938345148
1,7,wat,3,0.95,0.95,0.95,0.99,0,1
1,7,wat,4,0.9,0.7,0.5,0.2,1,0.709298862
1,7,wat,5,0.95,0.95,0.95,0.99,0,1
1,7,wat,6,0.95,0.95,0.95,0.99,0,1
1,8,wat,1,0.95,0.8,0.6,0.5,1,0.812354798
1,8,wat,2,0.95,0.95,0.99,0.99,0,1
1,8,wat,3,0.85,0.5,0.3,0.2,1,0.575862274
1,8,wat,4,0.95,0.95,0.99,0.99,0,1
1,8,wat,5,0.95,0.95,0.99,0.99,0,1
1,8,wat,6,0.95,0.95,0.99,0.99,0,1
1,9,wat,1,0.9,0.9,0.7,0.7,1,0.960683863
1,9,wat,2,0.9,0.8,0.5,0.5,1,0.839161256
1,9,wat,3,0.95,0.9,0.8,0.7,1,0.967832251
1,9,wat,4,0.95,0.7,0.5,0.5,1,0.783165545
1,9,wat,5,0.95,0.8,0.6,0.6,1,0.876690296
1,9,wat,6,0.95,0.99,0.99,0.99,0,1
1,10,wat,1,0.9,0.5,0.3,0.2,1,0.554417108
1,10,wat,2,0.95,0.95,0.99,0.99,0,1
1,10,wat,3,0.85,0.4,0.3,0.3,1,0.625007446
1,10,wat,4,0.95,0.9,0.6,0.6,1,0.899922559
1,10,wat,5,0.95,0.95,0.99,0.99,0,1
1,10,wat,6,0.9,0.95,0.95,0.95,1,0.990468815
